Angle,Intensity
10.002130280,1515.0
10.028390845,1421.0
10.054651410,1401.0
10.080911975,1455.0
10.107172540,1416.0
10.133433105,1357.0
10.159693670,1447.0
10.185954235,1426.0
10.212214800,1447.0
10.238475365,1443.0
10.264735930,1401.0
10.290996495,1381.0
10.317257060,1399.0
10.343517625,1403.0
10.369778190,1484.0
10.396038755,1455.0
10.422299320,1400.0
10.448559885,1481.0
10.474820450,1443.0
10.501081015,1423.0
10.527341580,1447.0
10.553602145,1447.0
10.579862710,1391.0
10.606123275,1384.0
10.632383840,1418.0
10.658644405,1435.0
10.684904970,1456.0
10.711165535,1357.0
10.737426100,1416.0
10.763686665,1435.0
10.789947230,1400.0
10.816207795,1391.0
10.842468360,1378.0
10.868728925,1371.0
10.894989490,1414.0
10.921250055,1373.0
10.947510620,1358.0
10.973771185,1380.0
11.000031750,1421.0
11.026292315,1388.0
11.052552880,1358.0
11.078813445,1349.0
11.105074010,1367.0
11.131334575,1303.0
11.157595140,1344.0
11.183855705,1402.0
11.210116270,1381.0
11.236376835,1346.0
11.262637400,1404.0
11.288897965,1339.0
11.315158530,1371.0
11.341419095,1347.0
11.367679660,1305.0
11.393940225,1333.0
11.420200791,1425.0
11.446461356,1332.0
11.472721921,1302.0
11.498982486,1382.0
11.525243051,1286.0
11.551503616,1285.0
11.577764181,1337.0
11.604024746,1332.0
11.630285311,1305.0
11.656545876,1277.0
11.682806441,1250.0
11.709067006,1391.0
11.735327571,1285.0
11.761588136,1313.0
11.787848701,1390.0
11.814109266,1329.0
11.840369831,1324.0
11.866630396,1397.0
11.892890961,1351.0
11.919151526,1292.0
11.945412091,1287.0
11.971672656,1315.0
11.997933221,1276.0
12.024193786,1320.0
12.050454351,1316.0
12.076714916,1343.0
12.102975481,1303.0
12.129236046,1350.0
12.155496611,1270.0
12.181757176,1292.0
12.208017741,1304.0
12.234278306,1272.0
12.260538871,1263.0
12.286799436,1194.0
12.313060001,1281.0
12.339320566,1331.0
12.365581131,1208.0
12.391841696,1269.0
12.418102261,1314.0
12.444362826,1271.0
12.470623391,1314.0
12.496883956,1162.0
12.523144521,1212.0
12.549405086,1239.0
12.575665651,1189.0
12.601926216,1211.0
12.628186781,1268.0
12.654447346,1215.0
12.680707911,1299.0
12.706968476,1293.0
12.733229041,1271.0
12.759489606,1224.0
12.785750171,1232.0
12.812010736,1248.0
12.838271301,1210.0
12.864531866,1232.0
12.890792431,1210.0
12.917052996,1224.0
12.943313561,1188.0
12.969574126,1197.0
12.995834691,1161.0
13.022095256,1223.0
13.048355821,1233.0
13.074616386,1191.0
13.100876951,1196.0
13.127137516,1125.0
13.153398081,1138.0
13.179658646,1198.0
13.205919211,1180.0
13.232179776,1168.0
13.258440341,1217.0
13.284700906,1155.0
13.310961471,1164.0
13.337222036,1152.0
13.363482601,1156.0
13.389743166,1209.0
13.416003731,1210.0
13.442264296,1161.0
13.468524861,1189.0
13.494785426,1225.0
13.521045991,1220.0
13.547306556,1149.0
13.573567121,1179.0
13.599827686,1150.0
13.626088251,1125.0
13.652348816,1193.0
13.678609381,1137.0
13.704869946,1137.0
13.731130511,1208.0
13.757391076,1172.0
13.783651641,1149.0
13.809912206,1114.0
13.836172771,1129.0
13.862433336,1202.0
13.888693901,1151.0
13.914954466,1101.0
13.941215031,1207.0
13.967475596,1105.0
13.993736161,1108.0
14.019996726,1074.0
14.046257291,1055.0
14.072517856,1081.0
14.098778421,1052.0
14.125038986,1084.0
14.151299551,1148.0
14.177560116,1135.0
14.203820682,1141.0
14.230081247,1167.0
14.256341812,1097.0
14.282602377,1046.0
14.308862942,1051.0
14.335123507,1154.0
14.361384072,1084.0
14.387644637,1054.0
14.413905202,1089.0
14.440165767,1055.0
14.466426332,1083.0
14.492686897,1084.0
14.518947462,1083.0
14.545208027,1112.0
14.571468592,1136.0
14.597729157,1134.0
14.623989722,1062.0
14.650250287,1149.0
14.676510852,1087.0
14.702771417,1071.0
14.729031982,1049.0
14.755292547,1079.0
14.781553112,1087.0
14.807813677,1021.0
14.834074242,1032.0
14.860334807,1097.0
14.886595372,1055.0
14.912855937,1084.0
14.939116502,1010.0
14.965377067,1061.0
14.991637632,1032.0
15.017898197,1078.0
15.044158762,952.0
15.070419327,1035.0
15.096679892,1071.0
15.122940457,992.0
15.149201022,1036.0
15.175461587,1000.0
15.201722152,1053.0
15.227982717,1020.0
15.254243282,1012.0
15.280503847,1092.0
15.306764412,1025.0
15.333024977,1050.0
15.359285542,955.0
15.385546107,1014.0
15.411806672,1011.0
15.438067237,1063.0
15.464327802,1034.0
15.490588367,1011.0
15.516848932,1044.0
15.543109497,1053.0
15.569370062,1016.0
15.595630627,1019.0
15.621891192,978.0
15.648151757,1025.0
15.674412322,1023.0
15.700672887,943.0
15.726933452,1029.0
15.753194017,1015.0
15.779454582,1018.0
15.805715147,1009.0
15.831975712,1021.0
15.858236277,953.0
15.884496842,936.0
15.910757407,1007.0
15.937017972,978.0
15.963278537,987.0
15.989539102,944.0
16.015799667,1000.0
16.042060232,996.0
16.068320797,1064.0
16.094581362,932.0
16.120841927,1008.0
16.147102492,976.0
16.173363057,955.0
16.199623622,955.0
16.225884187,899.0
16.252144752,932.0
16.278405317,927.0
16.304665882,956.0
16.330926447,880.0
16.357187012,1043.0
16.383447577,960.0
16.409708142,994.0
16.435968707,923.0
16.462229272,859.0
16.488489837,972.0
16.514750402,919.0
16.541010967,924.0
16.567271532,973.0
16.593532097,907.0
16.619792662,911.0
16.646053227,849.0
16.672313792,938.0
16.698574357,983.0
16.724834922,996.0
16.751095487,934.0
16.777356052,984.0
16.803616617,949.0
16.829877182,975.0
16.856137747,963.0
16.882398312,918.0
16.908658877,922.0
16.934919442,981.0
16.961180007,841.0
16.987440572,912.0
17.013701138,890.0
17.039961703,933.0
17.066222268,858.0
17.092482833,850.0
17.118743398,878.0
17.145003963,863.0
17.171264528,873.0
17.197525093,937.0
17.223785658,882.0
17.250046223,882.0
17.276306788,885.0
17.302567353,884.0
17.328827918,876.0
17.355088483,991.0
17.381349048,859.0
17.407609613,923.0
17.433870178,895.0
17.460130743,878.0
17.486391308,861.0
17.512651873,946.0
17.538912438,859.0
17.565173003,907.0
17.591433568,935.0
17.617694133,879.0
17.643954698,862.0
17.670215263,860.0
17.696475828,866.0
17.722736393,909.0
17.748996958,858.0
17.775257523,873.0
17.801518088,837.0
17.827778653,882.0
17.854039218,832.0
17.880299783,844.0
17.906560348,829.0
17.932820913,881.0
17.959081478,907.0
17.985342043,900.0
18.011602608,846.0
18.037863173,889.0
18.064123738,820.0
18.090384303,874.0
18.116644868,854.0
18.142905433,841.0
18.169165998,767.0
18.195426563,823.0
18.221687128,843.0
18.247947693,866.0
18.274208258,883.0
18.300468823,859.0
18.326729388,811.0
18.352989953,838.0
18.379250518,881.0
18.405511083,873.0
18.431771648,855.0
18.458032213,922.0
18.484292778,864.0
18.510553343,776.0
18.536813908,801.0
18.563074473,824.0
18.589335038,800.0
18.615595603,802.0
18.641856168,868.0
18.668116733,814.0
18.694377298,829.0
18.720637863,856.0
18.746898428,856.0
18.773158993,818.0
18.799419558,816.0
18.825680123,783.0
18.851940688,854.0
18.878201253,780.0
18.904461818,777.0
18.930722383,920.0
18.956982948,823.0
18.983243513,796.0
19.009504078,786.0
19.035764643,796.0
19.062025208,831.0
19.088285773,827.0
19.114546338,843.0
19.140806903,795.0
19.167067468,814.0
19.193328033,808.0
19.219588598,780.0
19.245849163,780.0
19.272109728,841.0
19.298370293,804.0
19.324630858,798.0
19.350891423,801.0
19.377151988,785.0
19.403412553,780.0
19.429673118,776.0
19.455933683,789.0
19.482194248,788.0
19.508454813,813.0
19.534715378,762.0
19.560975943,781.0
19.587236508,796.0
19.613497073,750.0
19.639757638,757.0
19.666018203,761.0
19.692278768,768.0
19.718539333,730.0
19.744799898,749.0
19.771060463,740.0
19.797321028,710.0
19.823581594,750.0
19.849842159,731.0
19.876102724,722.0
19.902363289,727.0
19.928623854,741.0
19.954884419,793.0
19.981144984,758.0
20.007405549,715.0
20.033666114,732.0
20.059926679,724.0
20.086187244,763.0
20.112447809,769.0
20.138708374,714.0
20.164968939,687.0
20.191229504,724.0
20.217490069,707.0
20.243750634,736.0
20.270011199,729.0
20.296271764,692.0
20.322532329,729.0
20.348792894,731.0
20.375053459,699.0
20.401314024,736.0
20.427574589,766.0
20.453835154,665.0
20.480095719,702.0
20.506356284,735.0
20.532616849,748.0
20.558877414,759.0
20.585137979,723.0
20.611398544,694.0
20.637659109,735.0
20.663919674,675.0
20.690180239,707.0
20.716440804,732.0
20.742701369,732.0
20.768961934,686.0
20.795222499,705.0
20.821483064,733.0
20.847743629,683.0
20.874004194,660.0
20.900264759,693.0
20.926525324,737.0
20.952785889,653.0
20.979046454,692.0
21.005307019,693.0
21.031567584,693.0
21.057828149,651.0
21.084088714,655.0
21.110349279,691.0
21.136609844,704.0
21.162870409,702.0
21.189130974,692.0
21.215391539,692.0
21.241652104,685.0
21.267912669,746.0
21.294173234,667.0
21.320433799,633.0
21.346694364,674.0
21.372954929,647.0
21.399215494,714.0
21.425476059,738.0
21.451736624,734.0
21.477997189,716.0
21.504257754,774.0
21.530518319,745.0
21.556778884,721.0
21.583039449,723.0
21.609300014,771.0
21.635560579,747.0
21.661821144,742.0
21.688081709,713.0
21.714342274,688.0
21.740602839,792.0
21.766863404,841.0
21.793123969,877.0
21.819384534,927.0
21.845645099,942.0
21.871905664,950.0
21.898166229,1142.0
21.924426794,1317.0
21.950687359,1643.0
21.976947924,1839.0
22.003208489,2137.0
22.029469054,2713.0
22.055729619,3096.0
22.081990184,3563.0
22.108250749,3826.0
22.134511314,3865.0
22.160771879,3793.0
22.187032444,3464.0
22.213293009,2910.0
22.239553574,2372.0
22.265814139,1845.0
22.292074704,1486.0
22.318335269,1198.0
22.344595834,999.0
22.370856399,817.0
22.397116964,841.0
22.423377529,727.0
22.449638094,782.0
22.475898659,738.0
22.502159224,674.0
22.528419789,644.0
22.554680354,657.0
22.580940919,725.0
22.607201485,657.0
22.633462050,643.0
22.659722615,631.0
22.685983180,611.0
22.712243745,647.0
22.738504310,651.0
22.764764875,654.0
22.791025440,666.0
22.817286005,661.0
22.843546570,639.0
22.869807135,684.0
22.896067700,668.0
22.922328265,662.0
22.948588830,651.0
22.974849395,594.0
23.001109960,664.0
23.027370525,597.0
23.053631090,600.0
23.079891655,612.0
23.106152220,629.0
23.132412785,617.0
23.158673350,605.0
23.184933915,606.0
23.211194480,571.0
23.237455045,623.0
23.263715610,583.0
23.289976175,670.0
23.316236740,630.0
23.342497305,622.0
23.368757870,604.0
23.395018435,598.0
23.421279000,629.0
23.447539565,630.0
23.473800130,587.0
23.500060695,621.0
23.526321260,626.0
23.552581825,567.0
23.578842390,651.0
23.605102955,637.0
23.631363520,655.0
23.657624085,597.0
23.683884650,608.0
23.710145215,626.0
23.736405780,647.0
23.762666345,666.0
23.788926910,628.0
23.815187475,652.0
23.841448040,698.0
23.867708605,708.0
23.893969170,697.0
23.920229735,669.0
23.946490300,630.0
23.972750865,706.0
23.999011430,630.0
24.025271995,687.0
24.051532560,657.0
24.077793125,707.0
24.104053690,619.0
24.130314255,621.0
24.156574820,656.0
24.182835385,600.0
24.209095950,625.0
24.235356515,631.0
24.261617080,628.0
24.287877645,566.0
24.314138210,609.0
24.340398775,569.0
24.366659340,571.0
24.392919905,552.0
24.419180470,552.0
24.445441035,584.0
24.471701600,543.0
24.497962165,579.0
24.524222730,556.0
24.550483295,537.0
