Angle,Intensity
10.002130280,1350.0
10.028390845,1391.0
10.054651410,1337.0
10.080911975,1322.0
10.107172540,1360.0
10.133433105,1297.0
10.159693670,1327.0
10.185954235,1270.0
10.212214800,1439.0
10.238475365,1351.0
10.264735930,1280.0
10.290996495,1314.0
10.317257060,1303.0
10.343517625,1317.0
10.369778190,1249.0
10.396038755,1284.0
10.422299320,1279.0
10.448559885,1347.0
10.474820450,1318.0
10.501081015,1285.0
10.527341580,1299.0
10.553602145,1264.0
10.579862710,1331.0
10.606123275,1374.0
10.632383840,1230.0
10.658644405,1321.0
10.684904970,1300.0
10.711165535,1223.0
10.737426100,1232.0
10.763686665,1238.0
10.789947230,1270.0
10.816207795,1302.0
10.842468360,1275.0
10.868728925,1251.0
10.894989490,1298.0
10.921250055,1156.0
10.947510620,1294.0
10.973771185,1249.0
11.000031750,1162.0
11.026292315,1199.0
11.052552880,1300.0
11.078813445,1217.0
11.105074010,1245.0
11.131334575,1226.0
11.157595140,1193.0
11.183855705,1236.0
11.210116270,1240.0
11.236376835,1261.0
11.262637400,1259.0
11.288897965,1229.0
11.315158530,1200.0
11.341419095,1225.0
11.367679660,1273.0
11.393940225,1266.0
11.420200791,1238.0
11.446461356,1239.0
11.472721921,1166.0
11.498982486,1196.0
11.525243051,1149.0
11.551503616,1243.0
11.577764181,1206.0
11.604024746,1157.0
11.630285311,1247.0
11.656545876,1159.0
11.682806441,1198.0
11.709067006,1149.0
11.735327571,1203.0
11.761588136,1240.0
11.787848701,1235.0
11.814109266,1236.0
11.840369831,1251.0
11.866630396,1300.0
11.892890961,1175.0
11.919151526,1263.0
11.945412091,1216.0
11.971672656,1193.0
11.997933221,1134.0
12.024193786,1196.0
12.050454351,1203.0
12.076714916,1191.0
12.102975481,1131.0
12.129236046,1130.0
12.155496611,1283.0
12.181757176,1177.0
12.208017741,1169.0
12.234278306,1107.0
12.260538871,1221.0
12.286799436,1179.0
12.313060001,1129.0
12.339320566,1092.0
12.365581131,1169.0
12.391841696,1197.0
12.418102261,1211.0
12.444362826,1136.0
12.470623391,1142.0
12.496883956,1128.0
12.523144521,1169.0
12.549405086,1103.0
12.575665651,1176.0
12.601926216,1101.0
12.628186781,1110.0
12.654447346,1182.0
12.680707911,1122.0
12.706968476,1086.0
12.733229041,1166.0
12.759489606,1137.0
12.785750171,1086.0
12.812010736,1041.0
12.838271301,1192.0
12.864531866,1125.0
12.890792431,1096.0
12.917052996,1185.0
12.943313561,1161.0
12.969574126,1146.0
12.995834691,1109.0
13.022095256,1120.0
13.048355821,1086.0
13.074616386,1076.0
13.100876951,1102.0
13.127137516,1129.0
13.153398081,1145.0
13.179658646,1077.0
13.205919211,1111.0
13.232179776,1164.0
13.258440341,1088.0
13.284700906,1055.0
13.310961471,1012.0
13.337222036,1147.0
13.363482601,1100.0
13.389743166,1112.0
13.416003731,1071.0
13.442264296,1155.0
13.468524861,1103.0
13.494785426,1065.0
13.521045991,1080.0
13.547306556,1090.0
13.573567121,1110.0
13.599827686,1116.0
13.626088251,1134.0
13.652348816,1072.0
13.678609381,1057.0
13.704869946,1117.0
13.731130511,1075.0
13.757391076,1043.0
13.783651641,996.0
13.809912206,1079.0
13.836172771,1070.0
13.862433336,1121.0
13.888693901,1059.0
13.914954466,1083.0
13.941215031,978.0
13.967475596,1045.0
13.993736161,1102.0
14.019996726,1055.0
14.046257291,1123.0
14.072517856,1049.0
14.098778421,1011.0
14.125038986,1026.0
14.151299551,1031.0
14.177560116,1063.0
14.203820682,1049.0
14.230081247,974.0
14.256341812,995.0
14.282602377,1020.0
14.308862942,1001.0
14.335123507,999.0
14.361384072,1031.0
14.387644637,1047.0
14.413905202,977.0
14.440165767,1095.0
14.466426332,1055.0
14.492686897,982.0
14.518947462,1013.0
14.545208027,1050.0
14.571468592,1035.0
14.597729157,1045.0
14.623989722,1037.0
14.650250287,984.0
14.676510852,996.0
14.702771417,996.0
14.729031982,1036.0
14.755292547,977.0
14.781553112,960.0
14.807813677,988.0
14.834074242,1003.0
14.860334807,1002.0
14.886595372,1055.0
14.912855937,975.0
14.939116502,1047.0
14.965377067,994.0
14.991637632,962.0
15.017898197,944.0
15.044158762,962.0
15.070419327,986.0
15.096679892,944.0
15.122940457,969.0
15.149201022,963.0
15.175461587,1001.0
15.201722152,923.0
15.227982717,974.0
15.254243282,983.0
15.280503847,999.0
15.306764412,999.0
15.333024977,968.0
15.359285542,962.0
15.385546107,1004.0
15.411806672,945.0
15.438067237,949.0
15.464327802,935.0
15.490588367,883.0
15.516848932,1022.0
15.543109497,1018.0
15.569370062,1000.0
15.595630627,1036.0
15.621891192,908.0
15.648151757,889.0
15.674412322,910.0
15.700672887,965.0
15.726933452,982.0
15.753194017,983.0
15.779454582,934.0
15.805715147,902.0
15.831975712,941.0
15.858236277,896.0
15.884496842,856.0
15.910757407,908.0
15.937017972,928.0
15.963278537,977.0
15.989539102,1009.0
16.015799667,978.0
16.042060232,920.0
16.068320797,984.0
16.094581362,953.0
16.120841927,926.0
16.147102492,917.0
16.173363057,903.0
16.199623622,904.0
16.225884187,934.0
16.252144752,875.0
16.278405317,939.0
16.304665882,902.0
16.330926447,908.0
16.357187012,950.0
16.383447577,891.0
16.409708142,876.0
16.435968707,858.0
16.462229272,911.0
16.488489837,925.0
16.514750402,950.0
16.541010967,976.0
16.567271532,806.0
16.593532097,880.0
16.619792662,906.0
16.646053227,894.0
16.672313792,934.0
16.698574357,880.0
16.724834922,903.0
16.751095487,856.0
16.777356052,873.0
16.803616617,816.0
16.829877182,845.0
16.856137747,901.0
16.882398312,904.0
16.908658877,877.0
16.934919442,908.0
16.961180007,833.0
16.987440572,916.0
17.013701138,929.0
17.039961703,871.0
17.066222268,876.0
17.092482833,868.0
17.118743398,921.0
17.145003963,855.0
17.171264528,811.0
17.197525093,885.0
17.223785658,857.0
17.250046223,866.0
17.276306788,869.0
17.302567353,871.0
17.328827918,889.0
17.355088483,917.0
17.381349048,896.0
17.407609613,855.0
17.433870178,843.0
17.460130743,904.0
17.486391308,790.0
17.512651873,846.0
17.538912438,861.0
17.565173003,870.0
17.591433568,841.0
17.617694133,895.0
17.643954698,890.0
17.670215263,963.0
17.696475828,912.0
17.722736393,935.0
17.748996958,947.0
17.775257523,954.0
17.801518088,934.0
17.827778653,1004.0
17.854039218,944.0
17.880299783,997.0
17.906560348,1069.0
17.932820913,1102.0
17.959081478,1118.0
17.985342043,1132.0
18.011602608,1141.0
18.037863173,1128.0
18.064123738,1109.0
18.090384303,1162.0
18.116644868,1082.0
18.142905433,1015.0
18.169165998,1059.0
18.195426563,998.0
18.221687128,963.0
18.247947693,920.0
18.274208258,896.0
18.300468823,959.0
18.326729388,899.0
18.352989953,904.0
18.379250518,878.0
18.405511083,850.0
18.431771648,876.0
18.458032213,791.0
18.484292778,837.0
18.510553343,769.0
18.536813908,769.0
18.563074473,823.0
18.589335038,850.0
18.615595603,769.0
18.641856168,829.0
18.668116733,758.0
18.694377298,908.0
18.720637863,781.0
18.746898428,807.0
18.773158993,774.0
18.799419558,807.0
18.825680123,757.0
18.851940688,769.0
18.878201253,788.0
18.904461818,787.0
18.930722383,838.0
18.956982948,780.0
18.983243513,786.0
19.009504078,758.0
19.035764643,797.0
19.062025208,810.0
19.088285773,784.0
19.114546338,741.0
19.140806903,759.0
19.167067468,767.0
19.193328033,764.0
19.219588598,782.0
19.245849163,763.0
19.272109728,774.0
19.298370293,793.0
19.324630858,790.0
19.350891423,718.0
19.377151988,708.0
19.403412553,719.0
19.429673118,733.0
19.455933683,762.0
