Magnetic field,Current,"Hall Voltage, 2mA","Hall Voltage, 4mA"
100,0.08,-1.2,-2.5
200,0.18,-2.8,-5.5
300,0.27,-4.3,-8.3
400,0.36,-5.8,-11.3
500,0.43,-7,-13.7
600,0.52,-8.6,-17.2
700,0.6,-10.2,-19.7
800,0.68,-11.8,-22.6
900,0.75,-13.2,-24.8
1000,0.81,-14.4,-27
1100,0.9,-16.1,-30.4
1200,0.97,-17.4,-33.2
1300,1.05,-19,-36.2
1400,1.14,-20.7,-39.4
1500,1.22,-22.4,-42.7
1600,1.3,-24,-45.4
1700,1.36,-25.2,-47.7
1800,1.44,-26.7,-50.2
1900,1.51,-28.1,-52.7
2000,1.6,-29.9,-55.8
2100,1.69,-31.5,-59.2
2200,1.78,-33.3,-62.4
2300,1.84,-34.5,-64.8
2400,1.91,-35.8,-66.8
2500,1.99,-37.2,-69.7
2600,2.07,-38.7,-73.2
2700,2.17,-40.6,-75.9
2800,2.25,-42,-78.8
2900,2.34,-43.5,-82.3
3000,2.42,-45.1,
3100,2.49,-46.4,
3200,2.57,-47.8,
3300,2.67,-49.6,
3400,2.74,-51.2,
3500,2.83,-52.5,
3600,2.93,-54.4,
3700,3,-55.6,
3800,3.09,-57.1,
3900,3.18,-58.7,
4000,3.26,-60,
4100,3.34,-61.4,
4200,3.44,-63,
4300,3.5,-64.3,
4400,3.6,-65.8,
4500,3.7,-67.5,
4600,3.79,-68.9,
4700,3.88,-70.7,
4800,3.98,-71.8,
,0,,
