Magnetic field,Current,"Hall Voltage, 2mA","Hall Voltage, 4mA","Hall Voltage, 6mA"
100,0.08,0.9,1.7,2.4
200,0.18,1.9,3.6,5.5
300,0.27,2.8,5.4,8.2
400,0.36,3.7,7.3,11.2
500,0.43,4.5,8.9,13.3
600,0.52,5.5,10.7,16.4
700,0.6,6.2,12.4,19
800,0.68,7.1,14.2,21.4
900,0.75,7.9,15.9,24
1000,0.81,8.6,17.1,26.2
1100,0.9,9.5,19.1,28.8
1200,0.97,10.3,20.6,31.1
1300,1.05,11.1,22.3,33.6
1400,1.14,12,24.3,36.4
1500,1.22,12.8,25.8,38.8
1600,1.3,13.6,27.5,41.3
1700,1.36,14.2,28.6,43.4
1800,1.44,15,30.2,45.6
1900,1.51,15.7,31.6,47.4
2000,1.6,16.5,33.3,50
2100,1.69,17.4,35.1,52.5
2200,1.78,18.1,36.8,55.2
2300,1.84,18.7,37.8,56.6
2400,1.91,19.3,39,58.5
2500,1.99,20,40.3,60.6
2600,2.07,20.7,41.8,62.8
2700,2.17,21.5,43.5,65.4
2800,2.25,22.2,44.8,67.1
2900,2.34,22.9,46.1,69.4
3000,2.42,23.5,47.5,71.2
3100,2.49,24.1,48.5,72.8
3200,2.57,24.6,49.7,74.8
3300,2.67,25.4,51.1,76.9
3400,2.74,25.8,52.2,78.4
3500,2.83,26.5,53.5,80.3
3600,2.93,27.2,54.8,82.6
3700,3,27.7,55.8,84
3800,3.09,28.3,57.1,85.8
3900,3.18,28.8,58.3,87.6
4000,3.26,29.4,59.3,89.3
4100,3.34,29.9,60.3,90.9
4200,3.44,30.5,61.7,92.9
4300,3.5,30.9,62.4,94.4
4400,3.6,31.4,63.6,96.1
4500,3.7,32,64.8,97.9
4600,3.79,32.5,66,99.4
4700,3.88,33.1,67,101.1
4800,3.98,33.6,67.9,102.6
