Angle,Intensity
10.002130280,2098.0
10.028390845,2083.0
10.054651410,2027.0
10.080911975,2086.0
10.107172540,2008.0
10.133433105,2026.0
10.159693670,2042.0
10.185954235,2079.0
10.212214800,1989.0
10.238475365,2012.0
10.264735930,2014.0
10.290996495,2030.0
10.317257060,2080.0
10.343517625,2054.0
10.369778190,2126.0
10.396038755,2003.0
10.422299320,1942.0
10.448559885,1966.0
10.474820450,2170.0
10.501081015,2079.0
10.527341580,2042.0
10.553602145,2059.0
10.579862710,2060.0
10.606123275,1972.0
10.632383840,2004.0
10.658644405,1995.0
10.684904970,2028.0
10.711165535,2023.0
10.737426100,1990.0
10.763686665,1952.0
10.789947230,2053.0
10.816207795,1976.0
10.842468360,2073.0
10.868728925,2053.0
10.894989490,2043.0
10.921250055,2003.0
10.947510620,2024.0
10.973771185,1968.0
11.000031750,1990.0
11.026292315,1952.0
11.052552880,1914.0
11.078813445,1979.0
11.105074010,2014.0
11.131334575,2024.0
11.157595140,1979.0
11.183855705,2008.0
11.210116270,1856.0
11.236376835,1928.0
11.262637400,1946.0
11.288897965,2055.0
11.315158530,1947.0
11.341419095,1955.0
11.367679660,1963.0
11.393940225,2049.0
11.420200791,1903.0
11.446461356,1942.0
11.472721921,1905.0
11.498982486,1926.0
11.525243051,1987.0
11.551503616,1926.0
11.577764181,1939.0
11.604024746,1869.0
11.630285311,1918.0
11.656545876,1942.0
11.682806441,1979.0
11.709067006,2059.0
11.735327571,1944.0
11.761588136,1911.0
11.787848701,1840.0
11.814109266,1888.0
11.840369831,1922.0
11.866630396,1953.0
11.892890961,1919.0
11.919151526,1834.0
11.945412091,1806.0
11.971672656,1969.0
11.997933221,1916.0
12.024193786,1907.0
12.050454351,1924.0
12.076714916,1902.0
12.102975481,1958.0
12.129236046,1839.0
12.155496611,1893.0
12.181757176,1853.0
12.208017741,1883.0
12.234278306,1901.0
12.260538871,1873.0
12.286799436,1798.0
12.313060001,1867.0
12.339320566,1842.0
12.365581131,1913.0
12.391841696,1965.0
12.418102261,1855.0
12.444362826,1849.0
12.470623391,1841.0
12.496883956,1792.0
12.523144521,1955.0
12.549405086,1922.0
12.575665651,1851.0
12.601926216,1872.0
12.628186781,1825.0
12.654447346,1838.0
12.680707911,1931.0
12.706968476,1886.0
12.733229041,1946.0
12.759489606,1844.0
12.785750171,1894.0
12.812010736,1957.0
12.838271301,1873.0
12.864531866,1855.0
12.890792431,1879.0
12.917052996,1830.0
12.943313561,1768.0
12.969574126,1888.0
12.995834691,1792.0
13.022095256,1916.0
13.048355821,1888.0
13.074616386,1789.0
13.100876951,1771.0
13.127137516,1914.0
13.153398081,1786.0
13.179658646,1861.0
13.205919211,1911.0
13.232179776,1801.0
13.258440341,1816.0
13.284700906,1845.0
13.310961471,1791.0
13.337222036,1893.0
13.363482601,1844.0
13.389743166,1824.0
13.416003731,1789.0
13.442264296,1870.0
13.468524861,1852.0
13.494785426,1843.0
13.521045991,1822.0
13.547306556,1740.0
13.573567121,1881.0
13.599827686,1753.0
13.626088251,1865.0
13.652348816,1861.0
13.678609381,1831.0
13.704869946,1797.0
13.731130511,1818.0
13.757391076,1809.0
13.783651641,1848.0
13.809912206,1837.0
13.836172771,1811.0
13.862433336,1919.0
13.888693901,1838.0
13.914954466,1863.0
13.941215031,1879.0
13.967475596,1876.0
13.993736161,1754.0
14.019996726,1788.0
14.046257291,1787.0
14.072517856,1849.0
14.098778421,1931.0
14.125038986,1886.0
14.151299551,1916.0
14.177560116,1853.0
14.203820682,1775.0
14.230081247,1795.0
14.256341812,1778.0
14.282602377,1705.0
14.308862942,1816.0
14.335123507,1806.0
14.361384072,1881.0
14.387644637,1853.0
14.413905202,1788.0
14.440165767,1790.0
14.466426332,1860.0
14.492686897,1820.0
14.518947462,1940.0
14.545208027,1789.0
14.571468592,1723.0
14.597729157,1728.0
14.623989722,1707.0
14.650250287,1814.0
14.676510852,1824.0
14.702771417,1784.0
14.729031982,1754.0
14.755292547,1808.0
14.781553112,1772.0
14.807813677,1809.0
14.834074242,1791.0
14.860334807,1748.0
14.886595372,1776.0
14.912855937,1723.0
14.939116502,1816.0
14.965377067,1782.0
14.991637632,1721.0
15.017898197,1787.0
15.044158762,1681.0
15.070419327,1754.0
15.096679892,1794.0
15.122940457,1739.0
15.149201022,1707.0
15.175461587,1739.0
15.201722152,1714.0
15.227982717,1793.0
15.254243282,1770.0
15.280503847,1719.0
15.306764412,1765.0
15.333024977,1706.0
15.359285542,1740.0
15.385546107,1768.0
15.411806672,1656.0
15.438067237,1721.0
15.464327802,1722.0
15.490588367,1698.0
15.516848932,1619.0
15.543109497,1749.0
15.569370062,1746.0
15.595630627,1635.0
15.621891192,1771.0
15.648151757,1719.0
15.674412322,1671.0
15.700672887,1661.0
15.726933452,1728.0
15.753194017,1683.0
15.779454582,1723.0
15.805715147,1659.0
15.831975712,1697.0
15.858236277,1755.0
15.884496842,1774.0
15.910757407,1726.0
15.937017972,1720.0
15.963278537,1717.0
15.989539102,1724.0
16.015799667,1667.0
16.042060232,1759.0
16.068320797,1672.0
16.094581362,1692.0
16.120841927,1705.0
16.147102492,1752.0
16.173363057,1716.0
16.199623622,1718.0
16.225884187,1762.0
16.252144752,1701.0
16.278405317,1789.0
16.304665882,1708.0
16.330926447,1744.0
16.357187012,1676.0
16.383447577,1706.0
16.409708142,1737.0
