Magnetic field,Current,Comparing line
100,0.08,0.08
200,0.18,0.162978723404255
300,0.27,0.245957446808511
400,0.36,0.328936170212766
500,0.43,0.411914893617021
600,0.52,0.494893617021276
700,0.6,0.577872340425532
800,0.68,0.660851063829787
900,0.75,0.743829787234042
1000,0.81,0.826808510638298
1100,0.9,0.909787234042553
1200,0.97,0.992765957446808
1300,1.05,1.07574468085106
1400,1.14,1.15872340425532
1500,1.22,1.24170212765957
1600,1.3,1.32468085106383
1700,1.36,1.40765957446808
1800,1.44,1.49063829787234
1900,1.51,1.5736170212766
2000,1.6,1.65659574468085
2100,1.69,1.73957446808511
2200,1.78,1.82255319148936
2300,1.84,1.90553191489362
2400,1.91,1.98851063829787
2500,1.99,2.07148936170213
2600,2.07,2.15446808510638
2700,2.17,2.23744680851064
2800,2.25,2.32042553191489
2900,2.34,2.40340425531915
3000,2.42,2.4863829787234
3100,2.49,2.56936170212766
3200,2.57,2.65234042553191
3300,2.67,2.73531914893617
3400,2.74,2.81829787234043
3500,2.83,2.90127659574468
3600,2.93,2.98425531914894
3700,3,3.06723404255319
3800,3.09,3.15021276595745
3900,3.18,3.2331914893617
4000,3.26,3.31617021276596
4100,3.34,3.39914893617021
4200,3.44,3.48212765957447
4300,3.5,3.56510638297872
4400,3.6,3.64808510638298
4500,3.7,3.73106382978723
4600,3.79,3.81404255319149
4700,3.88,3.89702127659574
4800,3.98,3.98
